seed,6h_thr,12h_thr,24h_thr,6h_tss,12h_tss,24h_tss
24,0.011371869593858719,0.006360221654176712,0.0014474163763225079,0.7627379485503056,0.7574021687883075,0.7743316239316239
10,0.00011734366853488609,6.633879092987627e-05,2.4505300189048285e-06,0.6688057937485855,0.7634606317774635,0.6705094017094018
100,7.691677456023172e-05,0.0002200131566496566,9.187108844344039e-06,0.569954987803958,0.7334394153701085,0.7429098901098901
42,6.532819497806486e-06,0.0002735046437010169,0.0016341047594323754,0.6824150677697589,0.7712753418198963,0.7542095238095238
123,0.0049272263422608376,0.0006011078949086368,0.0001301465672440827,0.7602182714310861,0.793033946251768,0.7015755799755801
mean,,,,0.6888264138607388,0.7637223008015088,0.7287072039072038
std,,,,0.07926546979716007,0.021640740959015834,0.042002325876546696
