comparison,horizon,n_a,n_b,mean_a,mean_b,delta,welch_p,perm_p_one_sided,n_perms,significant_at_0.05
Flare-PINN_vs_Strong-Form,6h,3,3,0.8169839314004074,0.7669592040301422,0.0500247273702652,0.013665776036868405,0.05,20,False
Flare-PINN_vs_Strong-Form,12h,3,3,0.8106003457488606,0.7211181832468961,0.0894821625019645,0.007655909816206726,0.05,20,False
Flare-PINN_vs_Strong-Form,24h,3,3,0.7897585673585675,0.7519023199023199,0.037856247456247605,0.012217175431734771,0.05,20,False
Flare-PINN_vs_DeFN,6h,3,5,0.8169839314004074,0.6928508562375839,0.12413307516282346,0.022598141101779462,0.017857142857142856,56,True
Flare-PINN_vs_DeFN,12h,3,5,0.8106003457488606,0.7618835454974069,0.04871680025145375,0.028516130173194255,0.017857142857142856,56,True
Flare-PINN_vs_DeFN,24h,3,5,0.7897585673585675,0.7299094505494506,0.059849116809116976,0.024372253306196138,0.017857142857142856,56,True
