Model,Horizon,Threshold,TSS,HSS,POD,FPR,FAR,CSI,Accuracy,TP,FN,FP,TN
Strong-Form,6h,0.22504892367906065,0.7673699298413257,0.09392717535165726,0.8571428571428571,0.08977292730153143,0.9444444444444444,0.05504587155963303,0.9099020293911827,30,5,510,5171
Strong-Form,12h,0.2446183953033268,0.7284417727487035,0.14500605355282561,0.8166666666666667,0.08822489391796322,0.9105839416058394,0.08765652951699464,0.9107767669699091,49,11,499,5157
Strong-Form,24h,0.24070450097847357,0.7649543345543345,0.16099224849548086,0.8901098901098901,0.12515555555555555,0.8968152866242038,0.1018867924528302,0.8750874737578727,81,10,704,4921
