Model,Horizon,Threshold,TSS,HSS,POD,FPR,FAR,CSI,Accuracy,TP,FN,FP,TN
Flare-PINN (Weak),6h,0.2602739726027397,0.8259209897653833,0.1021591129646305,0.9142857142857143,0.08836472452033092,0.9400749063670412,0.0595903165735568,0.9116515045486354,32,3,502,5179
Flare-PINN (Weak),12h,0.23566296696662903,0.8327793493635077,0.12928034253719076,0.95,0.11722065063649222,0.9208333333333333,0.07883817427385892,0.883484954513646,57,3,663,4993
Flare-PINN (Weak),24h,0.23704619705677032,0.7980327228327228,0.1466051094101992,0.945054945054945,0.14702222222222222,0.9058050383351588,0.09368191721132897,0.85444366689993,86,5,827,4798
