horizon,peak_rev,optimal_cl,rev_at_cl_0p01,positive_cl_lower,positive_cl_upper,base_rate,threshold
6h,0.8310397510385894,0.0061609745627209675,0.778643496841497,0.0005771235299196737,0.06280535302582078,0.006123163051084675,0.2602739726027397
12h,0.8423467659301297,0.010391888799112495,0.8403433995511626,0.0005951471715661671,0.08541862724625114,0.010496850944716585,0.23566296696662903
24h,0.8127892441935791,0.01598353321869612,0.7802614126996669,0.0010352018554516485,0.10272736385307937,0.015920223932820155,0.23704619705677032
