# S-FRAP1_dataset_summary: **Table S-FRAP1.** Summary of the 4 synthetic stacks and the 10 experimental FRAP stacks (top-5 quality-ranked per molecular-weight condition) used in the cross-domain validation. Synthetic stacks are generated by an explicit finite-difference solver in normalized coordinates; experimental stacks are taken from the public DeepFRAP dataset (Röding et al., 2020) and chosen by a five-metric quality screen across 40 candidates.
dataset,source,stack count,"shape (T, H, W)",pixel size (norm units),frame time (norm units),recovery duration (norm units),selected stack(s),purpose
synthetic_clean,in-house bounded-domain FD simulator,1,80 x 128 x 128,dx ≈ 2/127,dt = 0.01 (sim),0.79 (sim),synthetic_clean.npz,lambda tuning + clean sanity check
synthetic_noise_low,FD sim + PSF blur + Poisson + imaging bleach,1,80 x 128 x 128,dx ≈ 2/127,dt = 0.01 (sim),0.79 (sim),synthetic_noise_low.npz,noisy synthetic D-recovery (photons = 10000)
synthetic_noise_med,FD sim + PSF blur + Poisson + imaging bleach,1,80 x 128 x 128,dx ≈ 2/127,dt = 0.01 (sim),0.79 (sim),synthetic_noise_med.npz,noisy synthetic D-recovery (photons = 1000)
synthetic_noise_high,FD sim + PSF blur + Poisson + imaging bleach,1,80 x 128 x 128,dx ≈ 2/127,dt = 0.01 (sim),0.79 (sim),synthetic_noise_high.npz,noisy synthetic D-recovery (photons = 100)
real_32ww,"DeepFRAP (Roding et al. 2020, Zenodo 3874218)","20 candidates, top-5 selected (quality-rank #1-#5)",100 x 256 x 256 (postbleach),0.7598 um,0.265 s,26.24 s,"frap_32ww_{010,006,004,005,014}.mat","experimental FRAP, fast-diffusion regime"
real_56ww,"DeepFRAP (Roding et al. 2020, Zenodo 3874218)","20 candidates, top-5 selected (quality-rank #1-#5)",100 x 256 x 256 (postbleach),0.7598 um,0.265 s,26.24 s,"frap_56ww_{005,004,018,011,014}.mat","experimental FRAP, slow-diffusion regime"
