# full_run_table: **Per-run reproducibility CSV (not in supplement PDF; available in the code repository at `results/supplement_tables/full_run_table.csv`).** All 66 Phase 9 training runs. Synthetic blocks (clean + 3 noise levels) use 3 seeds per (condition, method) cell; experimental blocks use 5 seeds. Ground-truth D in normalized PINN coordinates is 0.01975 for synthetic; experimental D has no ground truth (LS-fit anchor is reported in Table S-FRAP3 only as a literature reference).
method,seed,condition,lambda_phys,init_D,D_recovered,D abs err,D % err,val_mse,median_strong_resid,median_weak_resid,k,notes
strong,3,real_32ww,1.0,0.05,0.1131,,,3.570e-03,1.071e-03,1.960e-05,0.0004,no ground-truth D (real stack)
strong,4,real_32ww,1.0,0.05,0.1101,,,3.550e-03,1.158e-03,4.861e-05,0.0002,no ground-truth D (real stack)
weak,0,real_32ww,30.0,0.05,0.1274,,,3.539e-03,1.815e-02,6.393e-04,0.0000,no ground-truth D (real stack)
weak,1,real_32ww,30.0,0.05,0.1302,,,3.535e-03,1.091e-02,2.423e-04,0.0000,no ground-truth D (real stack)
weak,2,real_32ww,30.0,0.05,0.1345,,,3.535e-03,1.428e-02,1.986e-04,0.0000,no ground-truth D (real stack)
weak,3,real_32ww,30.0,0.05,0.1266,,,3.536e-03,9.701e-03,3.420e-04,0.0000,no ground-truth D (real stack)
weak,4,real_32ww,30.0,0.05,0.1331,,,3.538e-03,1.588e-02,6.351e-04,0.0000,no ground-truth D (real stack)
strong,0,real_32ww,1.0,0.05,0.1155,,,3.521e-03,1.403e-03,4.262e-05,0.0004,no ground-truth D (real stack)
strong,1,real_32ww,1.0,0.05,0.1147,,,3.520e-03,1.179e-03,3.404e-05,0.0002,no ground-truth D (real stack)
strong,2,real_32ww,1.0,0.05,0.1098,,,3.539e-03,1.845e-03,2.864e-05,0.0001,no ground-truth D (real stack)
strong,3,real_32ww,1.0,0.05,0.1146,,,3.529e-03,1.849e-03,9.899e-05,0.0002,no ground-truth D (real stack)
strong,4,real_32ww,1.0,0.05,0.1116,,,3.532e-03,1.835e-03,7.156e-05,0.0001,no ground-truth D (real stack)
weak,0,real_32ww,30.0,0.05,0.1320,,,3.518e-03,1.167e-02,3.020e-04,0.0001,no ground-truth D (real stack)
weak,1,real_32ww,30.0,0.05,0.1331,,,3.506e-03,1.705e-02,3.714e-04,0.0000,no ground-truth D (real stack)
weak,2,real_32ww,30.0,0.05,0.1350,,,3.513e-03,1.265e-02,6.775e-04,0.0000,no ground-truth D (real stack)
weak,3,real_32ww,30.0,0.05,0.1340,,,3.523e-03,1.322e-02,2.051e-04,0.0000,no ground-truth D (real stack)
weak,4,real_32ww,30.0,0.05,0.1357,,,3.529e-03,1.239e-02,5.974e-04,0.0000,no ground-truth D (real stack)
strong,0,real_32ww,1.0,0.05,0.1149,,,3.614e-03,1.230e-03,3.883e-05,0.0137,no ground-truth D (real stack)
strong,1,real_32ww,1.0,0.05,0.1013,,,3.612e-03,1.949e-03,1.141e-04,0.0113,no ground-truth D (real stack)
strong,2,real_32ww,1.0,0.05,0.1052,,,3.617e-03,1.556e-03,5.952e-05,0.0119,no ground-truth D (real stack)
strong,3,real_32ww,1.0,0.05,0.1037,,,3.622e-03,1.742e-03,1.148e-04,0.0114,no ground-truth D (real stack)
strong,4,real_32ww,1.0,0.05,0.1067,,,3.629e-03,1.616e-03,7.761e-05,0.0119,no ground-truth D (real stack)
weak,0,real_32ww,30.0,0.05,0.1157,,,3.598e-03,1.367e-02,3.327e-04,0.0002,no ground-truth D (real stack)
weak,1,real_32ww,30.0,0.05,0.1172,,,3.626e-03,8.742e-03,2.096e-04,0.0001,no ground-truth D (real stack)
weak,2,real_32ww,30.0,0.05,0.1189,,,3.608e-03,1.320e-02,6.093e-04,0.0001,no ground-truth D (real stack)
weak,3,real_32ww,30.0,0.05,0.1178,,,3.606e-03,1.320e-02,5.082e-04,0.0001,no ground-truth D (real stack)
weak,4,real_32ww,30.0,0.05,0.1197,,,3.680e-03,1.862e-02,8.035e-04,0.0001,no ground-truth D (real stack)
data,0,real_32ww,0.0,0.05,0.0500,,,3.605e-03,1.546e-02,2.171e-04,0.0003,no ground-truth D (real stack)
data,1,real_32ww,0.0,0.05,0.0500,,,3.631e-03,1.545e-02,2.985e-04,0.0003,no ground-truth D (real stack)
data,2,real_32ww,0.0,0.05,0.0500,,,3.633e-03,1.788e-02,3.805e-04,0.0003,no ground-truth D (real stack)
data,3,real_32ww,0.0,0.05,0.0500,,,3.613e-03,1.427e-02,3.929e-04,0.0003,no ground-truth D (real stack)
data,4,real_32ww,0.0,0.05,0.0500,,,3.606e-03,1.431e-02,1.322e-04,0.0003,no ground-truth D (real stack)
strong,0,real_32ww,1.0,0.05,0.1131,,,3.621e-03,1.465e-03,3.781e-05,0.0204,no ground-truth D (real stack)
strong,1,real_32ww,1.0,0.05,0.1068,,,3.627e-03,1.691e-03,3.348e-05,0.0195,no ground-truth D (real stack)
strong,2,real_32ww,1.0,0.05,0.1040,,,3.624e-03,1.608e-03,1.867e-05,0.0183,no ground-truth D (real stack)
strong,3,real_32ww,1.0,0.05,0.1079,,,3.627e-03,1.637e-03,1.091e-04,0.0193,no ground-truth D (real stack)
strong,4,real_32ww,1.0,0.05,0.1062,,,3.616e-03,1.235e-03,4.689e-05,0.0197,no ground-truth D (real stack)
weak,0,real_32ww,30.0,0.05,0.1103,,,3.603e-03,1.281e-02,3.989e-04,0.0019,no ground-truth D (real stack)
weak,1,real_32ww,30.0,0.05,0.1118,,,3.607e-03,1.821e-02,3.386e-04,0.0009,no ground-truth D (real stack)
weak,2,real_32ww,30.0,0.05,0.1129,,,3.602e-03,1.762e-02,3.806e-04,0.0008,no ground-truth D (real stack)
weak,3,real_32ww,30.0,0.05,0.1078,,,3.602e-03,1.404e-02,4.498e-04,0.0008,no ground-truth D (real stack)
weak,4,real_32ww,30.0,0.05,0.1169,,,3.606e-03,1.702e-02,2.538e-04,0.0008,no ground-truth D (real stack)
strong,0,real_56ww,1.0,0.05,0.0129,,,1.841e-03,1.797e-03,1.023e-04,0.0094,no ground-truth D (real stack)
strong,1,real_56ww,1.0,0.05,0.0140,,,1.784e-03,1.499e-03,5.743e-05,0.0093,no ground-truth D (real stack)
strong,2,real_56ww,1.0,0.05,0.0144,,,1.755e-03,9.304e-04,1.120e-04,0.0091,no ground-truth D (real stack)
strong,3,real_56ww,1.0,0.05,0.0144,,,1.804e-03,1.019e-03,8.498e-05,0.0091,no ground-truth D (real stack)
strong,4,real_56ww,1.0,0.05,0.0121,,,1.793e-03,2.136e-03,1.357e-04,0.0094,no ground-truth D (real stack)
weak,0,real_56ww,30.0,0.05,0.0149,,,1.843e-03,7.689e-03,4.195e-04,0.0079,no ground-truth D (real stack)
weak,1,real_56ww,30.0,0.05,0.0150,,,1.822e-03,8.884e-03,5.133e-04,0.0068,no ground-truth D (real stack)
weak,2,real_56ww,30.0,0.05,0.0148,,,1.750e-03,7.657e-03,1.716e-04,0.0083,no ground-truth D (real stack)
weak,3,real_56ww,30.0,0.05,0.0151,,,1.791e-03,5.047e-03,1.279e-04,0.0069,no ground-truth D (real stack)
weak,4,real_56ww,30.0,0.05,0.0154,,,1.797e-03,5.539e-03,1.388e-04,0.0074,no ground-truth D (real stack)
strong,0,real_56ww,1.0,0.05,0.0124,,,1.761e-03,1.497e-03,1.059e-04,0.0032,no ground-truth D (real stack)
strong,1,real_56ww,1.0,0.05,0.0139,,,1.751e-03,1.452e-03,8.880e-05,0.0031,no ground-truth D (real stack)
strong,2,real_56ww,1.0,0.05,0.0139,,,1.752e-03,1.373e-03,1.285e-04,0.0031,no ground-truth D (real stack)
strong,3,real_56ww,1.0,0.05,0.0145,,,1.787e-03,1.025e-03,9.867e-05,0.0029,no ground-truth D (real stack)
strong,4,real_56ww,1.0,0.05,0.0125,,,1.759e-03,1.874e-03,1.741e-04,0.0031,no ground-truth D (real stack)
weak,0,real_56ww,30.0,0.05,0.0146,,,1.824e-03,1.299e-02,3.696e-04,0.0009,no ground-truth D (real stack)
weak,1,real_56ww,30.0,0.05,0.0148,,,1.831e-03,1.270e-02,3.224e-04,0.0019,no ground-truth D (real stack)
weak,2,real_56ww,30.0,0.05,0.0152,,,1.764e-03,1.060e-02,5.323e-04,0.0018,no ground-truth D (real stack)
weak,3,real_56ww,30.0,0.05,0.0154,,,1.807e-03,1.157e-02,1.974e-04,0.0015,no ground-truth D (real stack)
weak,4,real_56ww,30.0,0.05,0.0155,,,1.799e-03,9.229e-03,5.481e-04,0.0031,no ground-truth D (real stack)
strong,0,real_56ww,1.0,0.05,0.0127,,,1.726e-03,1.517e-03,6.999e-05,0.0040,no ground-truth D (real stack)
