path,condition,index,pixel_size_m,time_frame_s,bleach_radius_pixels,sat_frac,prebleach_cv,recovery_nonsmooth,drift,bleach_depth,composite_score
data/deepfrap/validation_exp/data/frap_32ww_001.mat,32ww,1,7.598e-07,0.265,19.742037378257436,0.0,0.0008066953741945326,7.5031673904284375,0.039068784564733505,0.34141895174980164,17.8
data/deepfrap/validation_exp/data/frap_32ww_002.mat,32ww,2,7.598e-07,0.265,19.742037378257436,0.0,0.0005744879599660635,8.31550007079813,0.038585115224123,0.3436875641345978,14.8
data/deepfrap/validation_exp/data/frap_32ww_003.mat,32ww,3,7.598e-07,0.265,19.742037378257436,0.0,0.0006522734183818102,10.787462012000312,0.03951609134674072,0.3453758656978607,21.8
data/deepfrap/validation_exp/data/frap_32ww_004.mat,32ww,4,7.598e-07,0.265,19.742037378257436,0.0,0.00048273708671331406,8.05612090124376,0.03915473073720932,0.3540176451206207,12.6
data/deepfrap/validation_exp/data/frap_32ww_005.mat,32ww,5,7.598e-07,0.265,19.742037378257436,0.0,0.00045136280823498964,8.918586883442332,0.039378177374601364,0.3592070937156677,14.0
data/deepfrap/validation_exp/data/frap_32ww_006.mat,32ww,6,7.598e-07,0.265,19.742037378257436,0.0,0.0004906893591396511,6.733724593809847,0.03879912570118904,0.3603895306587219,9.8
data/deepfrap/validation_exp/data/frap_32ww_007.mat,32ww,7,7.598e-07,0.265,19.742037378257436,0.0,0.000617276004049927,7.6699559521766485,0.03896668180823326,0.3439790606498718,16.4
data/deepfrap/validation_exp/data/frap_32ww_008.mat,32ww,8,7.598e-07,0.265,19.742037378257436,0.0,0.0004702393780462444,9.179345683878596,0.03923329710960388,0.35101500153541565,15.2
data/deepfrap/validation_exp/data/frap_32ww_009.mat,32ww,9,7.598e-07,0.265,19.742037378257436,0.0,0.0008131442591547966,8.750427805986478,0.03919629380106926,0.35103172063827515,19.6
data/deepfrap/validation_exp/data/frap_32ww_010.mat,32ww,10,7.598e-07,0.265,19.742037378257436,0.0,0.0004712955851573497,2.585594795071029,0.03852080926299095,0.35093727707862854,9.6
data/deepfrap/validation_exp/data/frap_32ww_011.mat,32ww,11,7.598e-07,0.265,19.742037378257436,0.0,0.0006358186947181821,7.080961391889406,0.03921731561422348,0.3420657217502594,18.0
data/deepfrap/validation_exp/data/frap_32ww_012.mat,32ww,12,7.598e-07,0.265,19.742037378257436,0.0,0.0005795920733362436,13.400026631158456,0.039351966232061386,0.3423220217227936,22.6
data/deepfrap/validation_exp/data/frap_32ww_013.mat,32ww,13,7.598e-07,0.265,19.742037378257436,0.0,0.0005716962041333318,9.367470285194788,0.03936164826154709,0.34064435958862305,20.8
data/deepfrap/validation_exp/data/frap_32ww_014.mat,32ww,14,7.598e-07,0.265,19.742037378257436,0.0,0.0005024547572247684,3.3792708800439053,0.039409201592206955,0.3469015955924988,14.6
data/deepfrap/validation_exp/data/frap_32ww_015.mat,32ww,15,7.598e-07,0.265,19.742037378257436,0.0,0.0023159778211265802,4.77701507208388,0.04016444832086563,0.3497387766838074,23.2
data/deepfrap/validation_exp/data/frap_32ww_016.mat,32ww,16,7.598e-07,0.265,19.742037378257436,0.0,0.0007222059648483992,11.58962536975526,0.039928168058395386,0.34279370307922363,27.8
data/deepfrap/validation_exp/data/frap_32ww_017.mat,32ww,17,7.598e-07,0.265,19.742037378257436,0.0,0.0003757849335670471,9.435204322424203,0.03961388021707535,0.34713178873062134,18.6
data/deepfrap/validation_exp/data/frap_32ww_018.mat,32ww,18,7.598e-07,0.265,19.742037378257436,0.0,0.00045947631588205695,7.043319745803479,0.03986097127199173,0.35686078667640686,15.8
data/deepfrap/validation_exp/data/frap_32ww_019.mat,32ww,19,7.598e-07,0.265,19.742037378257436,0.0,0.0005258384044282138,10.156843332971683,0.04010627418756485,0.3383350968360901,25.6
data/deepfrap/validation_exp/data/frap_32ww_020.mat,32ww,20,7.598e-07,0.265,19.742037378257436,0.0,0.0003687811840791255,10.103887207264616,0.039854805916547775,0.3379749357700348,22.0
data/deepfrap/validation_exp/data/frap_56ww_001.mat,56ww,1,7.598e-07,0.265,19.742037378257436,1.52587890625e-07,0.0008222395554184914,4.29991359867144,0.040889933705329895,0.6007440090179443,23.2
data/deepfrap/validation_exp/data/frap_56ww_002.mat,56ww,2,7.598e-07,0.265,19.742037378257436,0.0,0.0007384181371890008,7.6054830580241,0.04133209213614464,0.5980640649795532,23.4
