harpnum,t0,obs_coverage,l_data_weak,l_data_baseline
6167,2015-12-17 19:00:00+00:00,0.7551020408163265,0.0006409678026102483,0.0005894838250242174
6178,2015-12-17 19:00:00+00:00,1.0,0.0019378280267119408,0.001618335023522377
6172,2015-12-17 23:00:00+00:00,1.0,0.0014636447886005044,0.001360011287033558
6189,2015-12-17 23:00:00+00:00,1.0,0.001003236509859562,0.0008980985730886459
6167,2015-12-18 01:00:00+00:00,0.7142857142857143,0.0006224031676538289,0.0005603411118499935
6178,2015-12-18 01:00:00+00:00,1.0,0.0019654985517263412,0.0016197869554162025
6172,2015-12-18 05:00:00+00:00,1.0,0.00135759636759758,0.0012579726753756404
6189,2015-12-18 05:00:00+00:00,1.0,0.0010059707565233111,0.0009208526462316513
6167,2015-12-18 07:00:00+00:00,0.6938775510204082,0.0007197770173661411,0.0006313539342954755
6178,2015-12-18 07:00:00+00:00,1.0,0.0018369193421676755,0.0015154443681240082
6172,2015-12-18 11:00:00+00:00,1.0,0.0012834545923396945,0.0012008677003905177
6189,2015-12-18 11:00:00+00:00,1.0,0.0009894525865092874,0.0009172821301035583
6167,2015-12-18 13:00:00+00:00,0.6938775510204082,0.0007521849474869668,0.0006329973111860454
6178,2015-12-18 13:00:00+00:00,1.0,0.0020737035665661097,0.001733014709316194
6172,2015-12-18 17:00:00+00:00,1.0,0.0011594606330618262,0.0010862686904147267
6189,2015-12-18 17:00:00+00:00,1.0,0.0010429163230583072,0.0009805745212361217
6167,2015-12-18 19:00:00+00:00,0.6938775510204082,0.000866694375872612,0.0007097648340277374
6178,2015-12-18 19:00:00+00:00,1.0,0.0018312676111236215,0.0015249522402882576
6172,2015-12-18 23:00:00+00:00,1.0,0.0011521709384396672,0.0010640259133651853
6189,2015-12-18 23:00:00+00:00,1.0,0.00095646787667647,0.0008938883547671139
6167,2015-12-19 01:00:00+00:00,0.6938775510204082,0.0008901646360754967,0.000744617369491607
6178,2015-12-19 01:00:00+00:00,1.0,0.0019322080770507455,0.0016044066287577152
6172,2015-12-19 05:00:00+00:00,1.0,0.0011127437464892864,0.001029928564094007
6189,2015-12-19 05:00:00+00:00,1.0,0.000977570191025734,0.0009099477902054787
