harpnum,t0,input_span_hours,stride_hours,horizons_hours,frame_count_in_window,obs_coverage,window_uid,has_noaa_mapping,y_geq_M_6h,event_count_6h,is_masked_6h,is_partial_ok_6h,horizon_coverage_6h,y_geq_M_12h,event_count_12h,is_masked_12h,is_partial_ok_12h,horizon_coverage_12h,y_geq_M_24h,event_count_24h,is_masked_24h,is_partial_ok_24h,horizon_coverage_24h,prob,y_true,y_pred,error_kind,cmd_deg,flare_max_class_letter,flare_near_miss_c
6172,2015-12-19 11:00:00+00:00,48,6,[ 6 12 24],49,1.0,91ff4c0e78381640,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.11909857392311096,0,0,TN,43.43409084364015,,False
6189,2015-12-19 11:00:00+00:00,48,6,[ 6 12 24],49,1.0,47169dd0dbfdf691,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08008797466754913,0,0,TN,12.504792843640189,,False
6178,2015-12-19 13:00:00+00:00,48,6,[ 6 12 24],49,1.0,2062ce45d0b488d6,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.18321049213409424,0,0,TN,6.958054357146125,,False
6172,2015-12-19 17:00:00+00:00,48,6,[ 6 12 24],49,1.0,6b004b0f8fe4339d,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.10423727333545685,0,0,TN,46.783114538925105,,False
6189,2015-12-19 17:00:00+00:00,48,6,[ 6 12 24],49,1.0,6f770abbadbdbe2e,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08147294074296951,0,0,TN,15.831011838925122,,False
6178,2015-12-19 19:00:00+00:00,48,6,[ 6 12 24],49,1.0,dd53dfdc15b18503,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.16984882950782776,0,0,TN,10.303632803576562,,False
6172,2015-12-19 23:00:00+00:00,48,6,[ 6 12 24],49,1.0,0f9e421e6da73c6b,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.11079593747854233,0,0,TN,50.11608166954295,,False
6189,2015-12-19 23:00:00+00:00,48,6,[ 6 12 24],49,1.0,2b721a3dd97262ab,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08781508356332779,0,0,TN,19.141143969542952,,False
6178,2015-12-20 01:00:00+00:00,48,6,[ 6 12 24],49,1.0,7131635c6a5145a6,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.1763802021741867,0,0,TN,13.649520165831177,,False
6172,2015-12-20 05:00:00+00:00,48,6,[ 6 12 24],49,1.0,c7107d48b26a9a82,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.10686703026294708,0,0,TN,53.47755517068924,,False
6189,2015-12-20 05:00:00+00:00,48,6,[ 6 12 24],49,1.0,adc5ac5ff7d5936a,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08703804016113281,0,0,TN,22.479806170689244,,False
6178,2015-12-20 07:00:00+00:00,48,6,[ 6 12 24],49,1.0,e4b1b607e2a2b568,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.14249682426452637,0,0,TN,17.02813357284853,,False
6172,2015-12-20 11:00:00+00:00,48,6,[ 6 12 24],49,1.0,b32e71bab34dac8b,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.11122491210699081,0,0,TN,56.85493295873283,,False
6189,2015-12-20 11:00:00+00:00,48,6,[ 6 12 24],49,1.0,555a09debc04975d,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09007388353347778,0,0,TN,25.834325758732803,,False
6178,2015-12-20 13:00:00+00:00,48,6,[ 6 12 24],49,1.0,555bd432c5206025,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.1572568267583847,0,0,TN,20.406185834644873,,False
6172,2015-12-20 17:00:00+00:00,48,6,[ 6 12 24],49,1.0,23385c649fc07a40,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09742061048746109,0,0,TN,60.20383293120753,,False
6189,2015-12-20 17:00:00+00:00,48,6,[ 6 12 24],49,1.0,165d8377902c16cf,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09058856219053268,0,0,TN,29.16042923120753,,False
6178,2015-12-20 19:00:00+00:00,48,6,[ 6 12 24],49,1.0,54cd4ffdc4c1c54c,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.15457001328468323,0,0,TN,23.751648842653708,,False
6172,2015-12-20 23:00:00+00:00,48,6,[ 6 12 24],49,1.0,e2ced88f32ae0a71,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09831935912370682,0,0,TN,63.536889967287834,,False
6189,2015-12-20 23:00:00+00:00,48,6,[ 6 12 24],49,1.0,b632c6d1af6e36b5,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09016150236129761,0,0,TN,32.47063646728785,,False
6178,2015-12-21 01:00:00+00:00,48,6,[ 6 12 24],49,1.0,bee91352fe143274,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.1554875671863556,0,0,TN,27.09775596995192,,False
6189,2015-12-21 05:00:00+00:00,48,6,[ 6 12 24],49,1.0,69afc989c623310e,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09054219722747803,0,0,TN,35.80941122809128,,False
6178,2015-12-21 07:00:00+00:00,48,6,[ 6 12 24],49,1.0,073f7c37c03505ea,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.1469743847846985,0,0,TN,30.476329271765564,,False
6189,2015-12-21 11:00:00+00:00,48,6,[ 6 12 24],49,1.0,04307ee838ef33d3,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08847923576831818,0,0,TN,39.16390565720576,,False
6178,2015-12-21 13:00:00+00:00,48,6,[ 6 12 24],49,1.0,929bf784e9307ed2,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.15799465775489807,0,0,TN,33.854318085957175,,False
6189,2015-12-21 17:00:00+00:00,48,6,[ 6 12 24],49,1.0,0af79ce4a30f7274,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08567062020301819,0,0,TN,42.48984608136749,,False
6178,2015-12-21 19:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,ddb743923df07f5b,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.13826723396778107,0,0,TN,37.199777933795986,,False
6189,2015-12-21 23:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,3c1331a8180ed456,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08948717266321182,0,0,TN,45.80017941115372,,False
6178,2015-12-22 01:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,464658fff9cc37e0,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.13428783416748047,0,0,TN,40.545896520721044,,False
6189,2015-12-22 05:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,dd4987594d0f850d,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08439036458730698,0,0,TN,49.139011041951505,,False
6178,2015-12-22 07:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,f83c838278c1adab,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.13328437507152557,0,0,TN,43.924579837255465,,False
6189,2015-12-22 11:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,ccf80889c8118f13,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08657258749008179,0,0,TN,52.49342415497142,,False
6178,2015-12-22 13:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,dc076fb49eb95e3d,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.14387105405330658,0,0,TN,47.30244126008151,,False
6178,2015-12-22 19:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,fe8c56f07f114f04,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.14536090195178986,0,0,TN,50.647788153182006,,False
6178,2015-12-23 01:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,fead1ab9712c3b6f,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.14699195325374603,0,0,TN,53.99414376914615,,False
6205,2015-12-23 04:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,11ed6ecf4f073480,True,False,0,False,True,1.0,False,0,False,True,1.0,False,0,False,True,1.0,0.44574257731437683,0,1,FP,-61.801719694416235,,False
6206,2015-12-23 05:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,558da2f521557720,True,False,0,False,True,1.0,False,0,False,True,1.0,True,1,False,True,1.0,0.4560393691062927,0,1,FP,-59.42358838987582,,False
6178,2015-12-23 07:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,5681eac340f69033,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.12889544665813446,0,0,TN,57.37282655044103,,False
6205,2015-12-23 10:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,65cbbfc998479732,True,False,0,False,True,1.0,False,0,False,True,1.0,False,0,False,True,1.0,0.30294010043144226,0,1,FP,-58.379123329783724,,False
6206,2015-12-23 11:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,f9e74a8ecba979c8,True,False,0,False,True,1.0,False,0,False,True,1.0,True,1,False,True,1.0,0.4745611250400543,0,1,FP,-56.07375207907633,,False
6178,2015-12-23 13:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,15127695e74c14ad,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.13364866375923157,0,0,TN,60.75051113091354,,False
6205,2015-12-23 16:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,e19ae6a4fd395e58,True,False,0,False,True,1.0,False,0,False,True,1.0,False,0,False,True,1.0,0.15628567337989807,0,0,TN,-54.98008750183341,,False
6206,2015-12-23 17:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,2909ced33babd352,True,False,0,False,True,1.0,True,1,False,True,1.0,True,1,False,True,1.0,0.47301799058914185,1,1,TP,-52.75247365062117,,False
6178,2015-12-23 19:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,8a6c1b263f9468b8,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.131556436419487,0,0,TN,64.08860763723851,,False
6205,2015-12-23 22:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,4a643322423b435e,True,False,0,False,True,1.0,False,0,False,True,1.0,False,0,False,True,1.0,0.3820403814315796,0,1,FP,-51.60327148691158,,False
6206,2015-12-23 23:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,b0965345881d599a,True,True,1,False,True,1.0,True,1,False,True,1.0,True,1,False,True,1.0,0.49060899019241333,1,1,TP,-49.446474181765495,,False
6178,2015-12-24 01:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,55d5cdbe2fc821e5,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.13851532340049744,0,0,TN,67.4422915904342,,False
6205,2015-12-24 04:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,b9effa4423ae980b,True,False,0,False,True,1.0,False,0,False,True,1.0,False,0,False,True,1.0,0.44087517261505127,0,1,FP,-48.20277146619901,,False
6206,2015-12-24 05:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,155e455f93fcc260,True,False,0,False,True,1.0,False,0,False,True,1.0,False,0,False,True,1.0,0.4646751582622528,0,1,FP,-46.11193475433225,,False
6178,2015-12-24 07:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,5b8fe6e7b4f7cc5a,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.13048960268497467,0,0,TN,70.82107650753,,False
6205,2015-12-24 10:00:00+00:00,48,6,[ 6 12 24],48,0.9795918367346939,873372de527a77f4,True,False,0,False,True,1.0,False,0,False,True,1.0,False,0,False,True,1.0,0.21568553149700165,0,0,TN,-44.78022802414807,,False
