autocorr_u,r_u_Bz,mean_curl_at_pil,mean_curl_off_pil,pil_pixel_count,u_mag_mean,u_mag_max,harpnum,t0,label,obs_coverage
0.9733241753742089,0.7716552364253007,0.0011478730011731386,0.0003634049207903445,3277,0.0064781177788972855,0.0239375252276659,6167,2015-12-17 19:00:00+00:00,quiet,0.7551020408163265
0.9873339393115725,0.37032771291880795,0.0011101560667157173,0.00034536459133960307,3277,0.010530964471399784,0.040036506950855255,6178,2015-12-17 19:00:00+00:00,quiet,1.0
0.9570465034986442,0.14633748776355673,0.0013787359930574894,0.0004025036469101906,3277,0.007005395367741585,0.028402704745531082,6172,2015-12-17 23:00:00+00:00,quiet,1.0
0.9833489365448407,0.95861068814026,0.0015540069434791803,0.0004325926711317152,3277,0.008978513069450855,0.04112144559621811,6189,2015-12-17 23:00:00+00:00,quiet,1.0
0.9768479280602517,0.8939787940947064,0.0012528607621788979,0.0004002224013675004,3277,0.00878206454217434,0.031206848099827766,6205,2016-01-01 22:00:00+00:00,quiet,1.0
0.9739027742448827,0.6363459600876539,0.0015447094338014722,0.0005835535703226924,3277,0.007692995946854353,0.03004623018205166,6206,2016-01-01 23:00:00+00:00,flaring,1.0
0.9648753325202186,-0.8438844447217705,0.0009357861708849669,0.00025064643705263734,3277,0.009568596258759499,0.016392450779676437,6210,2015-12-25 22:00:00+00:00,quiet,1.0
0.9923472165096915,0.5183358301657566,0.000789348385296762,0.00026525434805080295,3277,0.006996154319494963,0.04644017666578293,6223,2016-01-03 06:00:00+00:00,quiet,1.0
0.9863760679630524,0.39508959441777697,0.0012671374715864658,0.0005030782776884735,3277,0.009290074929594994,0.041963543742895126,6224,2016-01-03 09:00:00+00:00,quiet,1.0
0.9806265155703979,-0.13686090378539328,0.0009984609205275774,0.0003306278958916664,3277,0.008527664467692375,0.03256191313266754,6227,2016-01-04 16:00:00+00:00,quiet,1.0
0.9858763181202179,0.41623194709668837,0.0011745430529117584,0.0003102520713582635,3277,0.010995958000421524,0.03711264207959175,6231,2016-01-05 09:00:00+00:00,quiet,0.9591836734693877
0.9917370008755684,0.7213268452868553,0.0014172520022839308,0.0005788438720628619,3277,0.010090617462992668,0.053437840193510056,6242,2016-01-13 06:00:00+00:00,quiet,1.0
0.9684595428868399,0.7200204632576569,0.0010103659005835652,0.0002746680402196944,3277,0.009057615883648396,0.03583082556724548,6246,2016-01-09 01:00:00+00:00,quiet,1.0
0.9910912933141551,0.8113409297767312,0.0013235477963462472,0.0005315534654073417,3277,0.008387133479118347,0.0407804399728775,6247,2016-01-09 06:00:00+00:00,quiet,1.0
0.9859199586607261,0.720505278507729,0.0015586966183036566,0.0005046641454100609,3277,0.01057927031069994,0.03600887581706047,6250,2016-01-09 14:00:00+00:00,quiet,1.0
0.979854566846643,0.5601845395341821,0.0010680155828595161,0.00030165325733833015,3277,0.009263351559638977,0.034724198281764984,6258,2016-01-12 03:00:00+00:00,quiet,1.0
0.9828007183984838,0.3846567515878423,0.0012454413808882236,0.00036338146310299635,3277,0.008407291024923325,0.03617292270064354,6273,2016-01-15 21:00:00+00:00,quiet,1.0
0.9666155404336911,0.23378662175834677,0.0007303212769329548,0.0002663603809196502,3277,0.00904371403157711,0.023959925398230553,6281,2016-01-18 18:00:00+00:00,quiet,1.0
0.9917062424771845,0.7740291142288322,0.0013466128148138523,0.0003912920074071735,3277,0.009615610353648663,0.04824265092611313,6289,2016-01-26 04:00:00+00:00,quiet,1.0
0.991881629148665,0.8683203710213467,0.0015447414480149746,0.0006400029524229467,3277,0.010276097804307938,0.052609119564294815,6301,2016-01-31 05:00:00+00:00,quiet,1.0
0.9808559855860723,-0.22443780914420813,0.0008105909219011664,0.00032234005630016327,3277,0.008860940113663673,0.027350997552275658,6302,2016-01-26 03:00:00+00:00,quiet,1.0
0.9786928049804892,0.18571538284681752,0.0009345213184133172,0.0003505656495690346,3277,0.007784098386764526,0.03296162933111191,6313,2016-02-01 23:00:00+00:00,quiet,1.0
0.9806175124386021,0.6506888814943601,0.0012402267893776298,0.00037311806227080524,3277,0.008345277979969978,0.036696575582027435,6317,2016-02-03 08:00:00+00:00,quiet,1.0
0.9888033992184122,0.6484546969404525,0.0011234319536015391,0.00036072288639843464,3277,0.00878527108579874,0.033863216638565063,6319,2016-02-06 00:00:00+00:00,quiet,1.0
0.990940711549268,0.9241959574272313,0.0014490532921627164,0.0005496509838849306,3277,0.00853832345455885,0.04355490952730179,6320,2016-02-09 01:00:00+00:00,quiet,1.0
0.9749887407385058,0.6217183146770345,0.0013279174454510212,0.00040628606802783906,3277,0.008302798494696617,0.03465354070067406,6324,2016-02-05 20:00:00+00:00,quiet,1.0
0.9786583640974583,0.43315648689800473,0.0016735338140279055,0.0004728881467599422,3277,0.009561451151967049,0.048969537019729614,6327,2016-02-11 11:00:00+00:00,flaring,1.0
0.9875605368458785,0.9743948957159785,0.0016795272240415215,0.0003974699939135462,3277,0.011857790872454643,0.034870728850364685,6345,2016-02-14 21:00:00+00:00,quiet,1.0
0.9838502683961263,0.5323522640661849,0.001182672451250255,0.00031283905263990164,3277,0.010008325800299644,0.03647872433066368,6351,2016-02-14 12:00:00+00:00,quiet,1.0
0.9837624479839373,0.8497084066032446,0.0008587659685872495,0.0002402782702120021,3277,0.009538169950246811,0.03720208257436752,6353,2016-02-14 17:00:00+00:00,quiet,1.0
0.9870925419234181,0.7629208877297531,0.0012285108678042889,0.00037373846862465143,3277,0.007805760949850082,0.03624151647090912,6356,2016-02-15 13:00:00+00:00,quiet,1.0
0.9849490719213083,0.5473087019846763,0.0008867697324603796,0.0002470777544658631,3277,0.008400396443903446,0.04558737203478813,6359,2016-02-16 08:00:00+00:00,quiet,1.0
0.9785132848545728,0.8345777707269098,0.0017868722788989544,0.00048373869503848255,3277,0.009730846621096134,0.045029375702142715,6361,2016-02-20 05:00:00+00:00,quiet,1.0
0.9899078481636172,0.6163934526500668,0.0012742788530886173,0.00042255944572389126,3277,0.010934162884950638,0.04089043661952019,6370,2016-02-21 03:00:00+00:00,quiet,0.9387755102040817
0.9800282159031585,0.6821465070034879,0.0017584721790626645,0.0005714899161830544,3277,0.00854345690459013,0.04597795009613037,6383,2016-02-29 20:00:00+00:00,quiet,0.8775510204081632
0.9920879780158368,0.8548384906924862,0.000889469520188868,0.0004236166423652321,3277,0.008334707468748093,0.037863537669181824,6391,2016-02-27 19:00:00+00:00,quiet,0.8775510204081632
0.9850657732684733,0.7485474905465377,0.001101772766560316,0.0003110704419668764,3277,0.008606666699051857,0.040039703249931335,6394,2016-02-29 16:00:00+00:00,quiet,0.8775510204081632
0.9880237446359429,0.6931397028401509,0.0012188645778223872,0.00032936513889580965,3277,0.008995762094855309,0.03719491884112358,6396,2016-03-01 05:00:00+00:00,quiet,0.8775510204081632
0.9786790237088769,0.5580893277012928,0.001278132782317698,0.00037040471215732396,3277,0.00937943160533905,0.03537175804376602,6398,2016-03-07 22:00:00+00:00,quiet,0.8775510204081632
0.9826340795228634,0.5980146186872994,0.00156698701903224,0.00045289393165148795,3277,0.008509872481226921,0.04010481759905815,6399,2016-03-07 01:00:00+00:00,quiet,0.8775510204081632
0.9663552008052074,0.3789635328348203,0.000955931085627526,0.0002519844565540552,3277,0.0066775111481547356,0.045643724501132965,6403,2016-03-14 22:00:00+00:00,quiet,1.0
0.9833735517000446,0.7098214016710852,0.0011089848121628165,0.000328839203575626,3277,0.010580990463495255,0.03656446188688278,6404,2016-03-05 02:00:00+00:00,quiet,0.8775510204081632
0.9889802898181206,0.7095613037864937,0.0013703942531719804,0.00039264961378648877,3277,0.011333085596561432,0.03680615872144699,6411,2016-03-06 12:00:00+00:00,quiet,0.8775510204081632
0.9831364793443169,0.7461063410655291,0.0018992541590705514,0.0005639721639454365,3277,0.011074538342654705,0.050180234014987946,6418,2016-03-16 17:00:00+00:00,quiet,1.0
0.9886937823758807,0.6781832068187658,0.0016426899237558246,0.0005600200383923948,3277,0.011339247226715088,0.04267020896077156,6424,2016-03-16 00:00:00+00:00,quiet,1.0
0.9820446385723247,0.47181704220976045,0.0009212126606144011,0.0003603304794523865,3277,0.007806577254086733,0.028145965188741684,6427,2016-03-16 08:00:00+00:00,quiet,1.0
0.9859006834287851,0.4097392523412799,0.0011901994002982974,0.00027285603573545814,3277,0.010229047387838364,0.04023021459579468,6428,2016-03-13 16:00:00+00:00,quiet,0.9387755102040817
0.9804341963968901,0.6494275047423279,0.001545121194794774,0.0004290181095711887,3277,0.009349503554403782,0.03387797623872757,6436,2016-03-17 16:00:00+00:00,quiet,1.0
