horizon,n_true_positives,n_lead_time_matched,n_unmatched,median_lead_hours,mean_lead_hours,p25_lead_hours,p75_lead_hours
6,32,32,0,1.9916666666666667,2.2260416666666667,0.8458333333333333,2.9125
12,57,57,0,4.233333333333333,4.738011695906433,1.8333333333333333,7.983333333333333
24,86,86,0,7.191666666666666,8.642441860465118,2.5875000000000004,13.941666666666666
